Transaction_ID,Transaction_Date,Customer_ID,Transaction_Category,Amount_USD,Currency,Department,Payment_Method,Transaction_Status,Approval_Code
TXN-000051,2024-01-16,CUST-0168,Loan Repayment,"$20,651.49",USD,Treasury,Credit Card,Completed,APR-44711
TXN-000052,2023-08-01,CUST-0001,Revenue,"$42,673.42",GBP,Partnerships,Bank Transfer,Completed,APR-20529
TXN-000053,2023-01-06,CUST-0202,Investment,"$18,986.19",USD,Treasury,Bank Transfer,Completed,APR-41736
TXN-000054,2024-11-02,CUST-0112,Capital Expenditure,"$28,450.72",USD,IT,Bank Transfer,Completed,APR-37377
TXN-000055,2024-11-19,CUST-0084,Revenue,"$79,057.29",USD,Sales,Credit Card,Completed,APR-77837
TXN-000056,2024-09-07,CUST-0024,Capital Expenditure,"$28,406.35",EUR,Real Estate,Bank Transfer,Completed,APR-80219
TXN-000057,2023-09-27,CUST-0003,Tax Payment,"$117,368.83",EUR,Finance,Bank Transfer,Completed,APR-12365
TXN-000058,2024-06-05,CUST-0001,Operating Expense,"$5,176.40",USD,Finance,Internal Transfer,Completed,APR-98730
TXN-000059,2024-09-17,CUST-0056,Loan Repayment,"$12,648.44",USD,Treasury,Credit Card,Completed,APR-90875
TXN-000060,2022-06-24,CUST-0202,Investment,"$26,516.35",USD,Finance,Bank Transfer,Completed,APR-67760
TXN-000061,2023-09-04,CUST-0012,Investment,"$26,560.18",USD,Finance,Bank Transfer,Completed,APR-98910
TXN-000062,2024-04-05,CUST-0008,Operating Expense,"$5,251.74",EUR,Operations,Internal Transfer,Completed,APR-89726
TXN-000063,2024-12-15,CUST-0057,Revenue,"$46,573.94",GBP,Sales,,Pending,
TXN-000064,2024-05-27,CUST-0044,Loan Repayment,"$12,998.11",USD,Treasury,Bank Transfer,Completed,APR-45505
TXN-000065,2024-04-01,CUST-0216,Operating Expense,"$3,090.34",USD,HR,Bank Transfer,Completed,APR-85675
TXN-000066,2023-01-08,CUST-0002,Capital Expenditure,"$43,873.42",GBP,IT,Direct Debit,Under Review,
TXN-000067,2023-04-29,CUST-0012,Refund,$721.29,EUR,Customer Success,Cheque,Completed,APR-78029
TXN-000068,2022-11-05,CUST-0093,Revenue,"$28,280.58",USD,Sales,Direct Debit,Completed,APR-67841
TXN-000069,2023-05-12,CUST-0016,Capital Expenditure,"$17,165.73",USD,IT,Crypto,Pending,
TXN-000070,2024-06-07,CUST-0284,Investment,"$19,853.26",USD,Business Development,Internal Transfer,Completed,APR-70905
TXN-000071,2024-12-02,CUST-0238,Loan Repayment,"$17,344.76",GBP,Treasury,Bank Transfer,Completed,APR-80421
TXN-000072,2022-02-11,CUST-0057,Operating Expense,"$9,628.50",USD,Marketing,Bank Transfer,Completed,APR-55124
TXN-000073,2023-05-22,CUST-0235,Investment,"$42,687.66",USD,Finance,Bank Transfer,Pending,
TXN-000074,2022-04-26,CUST-0045,Operating Expense,"$2,558.33",EUR,IT,Internal Transfer,Under Review,
TXN-000075,2024-10-04,CUST-0042,Operating Expense,"$11,433.89",EUR,Operations,Bank Transfer,Completed,APR-42127
TXN-000076,2024-05-18,CUST-0008,Loan Repayment,"$5,661.02",JPY,Treasury,Credit Card,Completed,APR-77089
TXN-000077,2024-08-29,CUST-0034,Operating Expense,"$9,698.60",USD,HR,Bank Transfer,Completed,APR-89677
TXN-000078,2024-11-04,CUST-0140,Revenue,"$131,047.35",USD,Partnerships,Bank Transfer,Failed,
TXN-000079,2022-10-26,CUST-0001,Revenue,"$33,644.69",EUR,Sales,Credit Card,Failed,
TXN-000080,2023-11-03,CUST-0212,Investment,"$21,362.30",USD,Business Development,Internal Transfer,Pending,APR-94202
TXN-000081,2024-01-13,CUST-0068,Revenue,"$166,086.71",USD,Business Development,Bank Transfer,Completed,APR-19121
TXN-000082,2023-12-16,CUST-0064,Capital Expenditure,"$13,219.61",USD,IT,Bank Transfer,Completed,APR-32463
TXN-000083,2024-06-08,CUST-0094,Operating Expense,"$4,477.51",EUR,Finance,Bank Transfer,Completed,APR-88941
TXN-000084,2024-08-26,CUST-0258,Operating Expense,"$5,199.23",GBP,Operations,Credit Card,Completed,APR-40867
TXN-000085,2023-02-17,CUST-0044,Loan Repayment,"$12,844.28",GBP,Treasury,Credit Card,Completed,APR-79223
TXN-000086,2022-08-10,CUST-0015,Refund,$878.31,EUR,Sales,Credit Card,Completed,APR-26430
TXN-000087,2024-03-12,CUST-0009,Tax Payment,"$9,939.48",GBP,Legal,Bank Transfer,Completed,APR-78608
TXN-000088,2023-02-27,CUST-0038,Investment,"$224,287.02",USD,Treasury,,Failed,
TXN-000089,2024-08-30,CUST-0131,Revenue,"$54,739.51",USD,Business Development,Credit Card,Completed,APR-96442
TXN-000090,2023-10-29,CUST-0007,Operating Expense,"$14,699.19",USD,Marketing,Direct Debit,Completed,APR-48153
TXN-000091,2024-05-16,CUST-0105,Refund,$960.79,USD,Customer Success,Bank Transfer,Completed,APR-12149
TXN-000092,2023-07-08,CUST-0004,Revenue,"$37,662.19",USD,Business Development,Bank Transfer,Completed,APR-46967
TXN-000093,2022-08-07,CUST-0040,Capital Expenditure,"$9,707.51",USD,Operations,Bank Transfer,Completed,APR-60483
TXN-000094,2023-05-06,CUST-0035,Revenue,"$95,101.87",GBP,Partnerships,Crypto,Completed,APR-34351
TXN-000095,2022-11-10,CUST-0097,Operating Expense,"$6,032.80",USD,Operations,Bank Transfer,Completed,APR-97959
TXN-000096,2023-02-14,CUST-0128,Refund,$326.03,GBP,Sales,Bank Transfer,Failed,
TXN-000097,2024-01-11,CUST-0183,Revenue,"$80,247.54",USD,Sales,Bank Transfer,Completed,APR-88431
TXN-000098,2023-07-08,CUST-0171,Capital Expenditure,"$11,002.93",EUR,Operations,Bank Transfer,Completed,APR-16848
TXN-000099,2024-06-28,CUST-0220,Revenue,"$37,628.35",USD,Partnerships,Credit Card,Completed,APR-19455
TXN-000100,2024-04-10,CUST-0033,Capital Expenditure,"$17,313.22",GBP,Operations,Internal Transfer,Completed,APR-88684
TXN-000101,2024-07-17,CUST-0173,Operating Expense,"$8,687.35",GBP,Operatins,Direct Debit,Completed,APR-35924
TXN-000102,2024-08-02,CUST-0017,Operating Expense,"$8,436.86",USD,HR,,Pending,
TXN-000103,2023-12-26,CUST-0186,Investment,"$19,980.70",USD,Treasury,Bank Transfer,Completed,APR-43038
TXN-000104,2023-03-15,CUST-0015,Revenue,"$54,524.87",GBP,Partnerships,Internal Transfer,Completed,APR-57348
TXN-000105,2024-12-28,CUST-0176,Refund,$617.19,USD,Sales,Cheque,Completed,APR-27391
TXN-000106,2022-08-12,CUST-0204,Revenue,"$54,648.31",EUR,Partnerships,Credit Card,Completed,APR-30257
TXN-000107,2023-09-09,CUST-0005,Investment,"$25,041.92",CAD,Business Development,Bank Transfer,Failed,
TXN-000108,2022-10-28,CUST-0005,Revenue,"$42,647.47",GBP,Business Development,Bank Transfer,Completed,APR-73221
TXN-000109,2023-12-08,CUST-0040,Revenue,"$55,369.40",USD,Sales,Direct Debit,Completed,APR-55743
TXN-000110,2024-08-15,CUST-0023,Capital Expenditure,"$53,234.95",USD,Real Estate,Bank Transfer,Completed,APR-84550
TXN-000111,2023-11-07,CUST-0254,Operating Expense,"$4,539.95",USD,IT,Bank Transfer,Completed,APR-70708
TXN-000112,2023-09-28,CUST-0275,Loan Repayment,"$8,848.39",EUR,Finance,Bank Transfer,Completed,APR-32065
TXN-000113,2023-06-12,CUST-0043,Tax Payment,"$25,552.98",CAD,Finance,Credit Card,Pending,
TXN-000114,2022-06-20,CUST-0221,Capital Expenditure,"$28,454.52",USD,Operations,Bank Transfer,Completed,APR-98264
TXN-000115,2024-06-11,CUST-0201,Operating Expense,"$8,794.55",CAD,IT,,Pending,
TXN-000116,2024-07-03,CUST-0273,Operating Expense,"$3,711.44",USD,Marketing,Direct Debit,Completed,APR-97563
TXN-000117,2024-03-13,CUST-0003,Operating Expense,"$9,318.45",USD,Operations,Direct Debit,Completed,APR-46463
TXN-000118,2024-10-24,CUST-0020,Revenue,"$85,421.49",USD,Business Development,,Pending,
TXN-000119,2022-09-25,CUST-0084,Revenue,"$79,149.07",CAD,Business Development,Bank Transfer,Completed,APR-90106
TXN-000120,2023-01-02,CUST-0221,Revenue,"$67,352.57",JPY,Business Development,Credit Card,Completed,APR-76471
TXN-000121,2024-09-15,CUST-0004,Refund,"$2,261.12",USD,Sales,Direct Debit,Completed,APR-87734
TXN-000122,2024-04-21,CUST-0024,Tax Payment,"$11,605.55",EUR,Legal,Bank Transfer,Completed,APR-23319
TXN-000123,2023-12-17,CUST-0002,Capital Expenditure,"$15,819.90",JPY,Real Estate,Bank Transfer,Completed,APR-73235
TXN-000124,2024-07-19,CUST-0024,Operating Expense,"$3,569.61",USD,IT,Bank Transfer,Completed,APR-85012
TXN-000125,2024-07-22,CUST-0081,Operating Expense,"$4,216.04",USD,Marketing,Bank Transfer,Completed,APR-26405
TXN-000126,2024-01-21,CUST-0226,Capital Expenditure,"$36,669.81",EUR,Real Estate,Bank Transfer,Completed,APR-72361
TXN-000127,2024-05-15,CUST-0060,Revenue,"$97,981.07",GBP,Sales,Cheque,Completed,APR-46467
TXN-000128,2023-03-06,CUST-0064,Investment,"$15,563.10",USD,Treasury,Internal Transfer,Completed,APR-94937
TXN-000129,2024-05-26,CUST-0276,Capital Expenditure,"$14,764.34",USD,Operations,Cheque,Completed,APR-43702
TXN-000130,2023-08-24,CUST-0029,Revenue,"$26,429.92",GBP,Business Development,Direct Debit,Completed,APR-70208
TXN-000131,2024-03-16,CUST-0114,Revenue,"$117,651.82",EUR,Business Development,Bank Transfer,Pending,
TXN-000132,2024-03-01,CUST-0027,Operating Expense,"$4,495.57",USD,Finance,Credit Card,Completed,APR-32678
TXN-000133,2024-03-10,CUST-0017,Loan Repayment,"$9,314.69",USD,Finance,Direct Debit,Completed,APR-38186
TXN-000134,2024-05-26,CUST-0027,Operating Expense,"$7,155.13",USD,IT,Credit Card,Completed,APR-91584
TXN-000135,2022-06-20,CUST-0022,Refund,$737.94,USD,Customer Success,Credit Card,Completed,APR-49874
TXN-000136,2023-01-17,CUST-0016,Revenue,"$26,406.06",USD,Partnerships,Bank Transfer,Under Review,
TXN-000137,2023-05-05,CUST-0003,Revenue,"$46,043.11",GBP,Partnerships,Credit Card,Completed,APR-78389
TXN-000138,2024-12-08,CUST-0021,Revenue,"$113,617.71",EUR,Partnerships,Internal Transfer,Failed,
TXN-000139,2024-04-18,CUST-0002,Revenue,"$84,638.40",EUR,Partnerships,Direct Debit,Completed,APR-12307
TXN-000140,2022-11-25,CUST-0034,Revenue,"$46,278.18",USD,Partnerships,Bank Transfer,Completed,APR-57783
TXN-000141,2024-05-08,CUST-0035,Capital Expenditure,"$26,915.41",GBP,Real Estate,Cheque,Completed,APR-11869
TXN-000142,2024-09-09,CUST-0056,Revenue,"$51,780.86",USD,Business Development,Credit Card,Completed,APR-59661
TXN-000143,2024-10-22,CUST-0216,Operating Expense,"$7,464.20",USD,HR,Direct Debit,Completed,APR-26705
TXN-000144,2023-01-12,CUST-0182,Operating Expense,"$3,873.78",EUR,Marketing,Bank Transfer,Completed,APR-91503
TXN-000145,2024-11-25,CUST-0027,Operating Expense,"$7,034.03",USD,IT,Direct Debit,Completed,APR-80343
TXN-000146,2023-02-12,CUST-0138,Refund,"$1,171.27",USD,Sales,Credit Card,Failed,
TXN-000147,2022-10-27,CUST-0078,Revenue,"$32,352.97",USD,Business Development,Internal Transfer,Completed,APR-21814
TXN-000148,2024-03-27,CUST-0264,Capital Expenditure,"$33,361.16",USD,IT,Direct Debit,Completed,APR-28223
TXN-000149,2022-03-31,CUST-0297,Revenue,"$50,015.93",EUR,Partnerships,Credit Card,Completed,APR-61003
TXN-000150,2024-08-06,CUST-0247,Revenue,"$44,426.78",USD,Business Development,Direct Debit,Completed,APR-77255
TXN-000151,2022-10-10,CUST-0002,Operating Expense,"$10,522.07",USD,IT,Bank Transfer,Completed,APR-85101
TXN-000152,2022-07-08,CUST-0239,Revenue,"$49,621.46",USD,Sales,Direct Debit,Completed,APR-89390
TXN-000153,2024-08-24,CUST-0114,Operating Expense,"$2,923.08",USD,HR,Bank Transfer,Completed,APR-33814
TXN-000154,2024-12-06,CUST-0149,Refund,$768.31,GBP,Finance,,Failed,
TXN-000155,2024-07-10,CUST-0079,Operating Expense,"$7,076.63",USD,IT,Bank Transfer,Completed,APR-35519
TXN-000156,2024-08-24,CUST-0197,Revenue,"$9,371,647.14",CAD,Partnerships,Direct Debit,Completed,APR-30457
TXN-000157,2024-11-18,CUST-0269,Operating Expense,"$4,163.79",USD,Marketing,Credit Card,Completed,APR-13180
TXN-000158,2023-09-08,CUST-0071,Investment,"$26,487.99",EUR,Business Development,Cheque,Completed,APR-77083
TXN-000159,2023-05-29,CUST-0001,Tax Payment,"$31,540.08",USD,Finance,Internal Transfer,Completed,APR-23494
TXN-000160,2024-05-29,CUST-0001,Operating Expense,"$2,713.07",JPY,Marketing,Credit Card,Completed,APR-73156
TXN-000161,2024-03-24,CUST-0065,Revenue,"$53,974.97",CAD,Business Development,Direct Debit,Completed,APR-23713
TXN-000162,2024-05-11,CUST-0187,Operating Expense,"$6,177.70",USD,Marketing,Bank Transfer,Completed,APR-89435
TXN-000163,2024-06-03,CUST-0148,Revenue,"$33,892.40",EUR,Sales,Credit Card,Completed,APR-66869
TXN-000164,2024-06-04,CUST-0005,Investment,"$77,815.19",USD,Finance,Credit Card,Completed,APR-49976
TXN-000165,2023-01-30,CUST-0007,Investment,"$28,487.81",USD,Business Development,Credit Card,Completed,APR-97151
TXN-000166,2022-07-02,CUST-0096,Revenue,"$114,085.85",EUR,Partnerships,Bank Transfer,Failed,
TXN-000167,2023-12-02,CUST-0005,Refund,"$1,304.10",GBP,Sales,Direct Debit,Pending,
TXN-000168,2024-11-20,CUST-0002,Operating Expense,"$3,083.50",USD,Operations,Internal Transfer,Completed,APR-86573
TXN-000169,2024-06-20,CUST-0031,Loan Repayment,"$8,511.10",GBP,Treasury,Direct Debit,Completed,APR-78116
TXN-000170,2022-11-11,CUST-0007,Revenue,"$79,673.63",EUR,Partnerships,Direct Debit,Failed,
TXN-000171,2022-06-01,CUST-0208,Operating Expense,"$2,815.25",USD,HR,Cheque,Pending,
TXN-000172,2024-02-15,CUST-0012,Operating Expense,"$3,685.41",USD,Finance,Credit Card,Completed,APR-90266
TXN-000173,2024-02-15,CUST-0009,Tax Payment,"$13,891.46",CAD,Legal,Direct Debit,Completed,APR-20988
TXN-000174,2024-05-02,CUST-0148,Revenue,"$26,431.60",USD,Sales,Direct Debit,Completed,APR-69639
TXN-000175,2023-02-26,CUST-0023,Tax Payment,"$81,572.18",GBP,Legal,Direct Debit,Completed,APR-85805
TXN-000176,2023-10-13,CUST-0028,Revenue,"$143,103.77",GBP,Partnerships,Crypto,Completed,APR-87045
TXN-000177,2024-05-22,CUST-0079,Capital Expenditure,"$84,174.34",USD,Real Estate,,Pending,
TXN-000178,2022-11-03,CUST-0003,Tax Payment,"$20,754.17",EUR,Legal,Direct Debit,Completed,APR-42014
TXN-000179,2022-12-14,CUST-0096,Loan Repayment,"$7,979.46",USD,Treasury,Bank Transfer,Completed,APR-55187
TXN-000180,2023-10-03,CUST-0247,Operating Expense,"$5,300.32",USD,Finance,Credit Card,Completed,APR-52445
TXN-000181,2023-03-08,CUST-0008,Revenue,"$65,084.63",GBP,Partnerships,Crypto,Completed,APR-23475
TXN-000182,2024-11-05,CUST-0264,Operating Expense,"$1,571.21",USD,Finance,Bank Transfer,Completed,APR-98791
TXN-000183,2022-12-18,CUST-0009,Revenue,"$38,879.56",GBP,Partnerships,Cheque,Completed,APR-13246
TXN-000184,2023-08-24,CUST-0088,Investment,"$12,421,314.94",GBP,Business Development,Credit Card,Completed,APR-94308
TXN-000185,2024-08-23,CUST-0111,Investment,"$50,148.65",USD,Treasury,Credit Card,Completed,APR-25643
TXN-000186,2022-04-04,CUST-0225,Capital Expenditure,"$15,289.75",CAD,IT,Credit Card,Completed,APR-31141
TXN-000187,2024-04-27,CUST-0036,Loan Repayment,"$6,416.36",EUR,Finance,Credit Card,Completed,APR-41985
TXN-000188,2022-02-06,CUST-0282,Revenue,"$21,454.12",USD,Sales,Bank Transfer,Completed,APR-47282
TXN-000185,2024-11-11,CUST-0069,Revenue,"$32,227.48",JPY,Business Development,Credit Card,Completed,APR-83762
TXN-000190,2022-08-25,CUST-0291,Revenue,"$25,159.34",USD,Sales,Direct Debit,Under Review,APR-39990
TXN-000191,2022-10-24,CUST-0195,Revenue,"$73,897.72",CAD,Partnerships,Bank Transfer,Pending,
TXN-000192,2024-03-08,CUST-0054,Loan Repayment,"$9,213.62",USD,Finance,Cheque,Completed,APR-15818
TXN-000193,2024-09-14,CUST-0129,Revenue,"$100,760.15",USD,Sales,Bank Transfer,Completed,APR-50502
TXN-000194,2023-10-01,CUST-0002,Operating Expense,"$3,691.07",USD,Marketing,Credit Card,Completed,APR-38630
TXN-000195,2023-10-29,CUST-0148,Revenue,"$24,846.09",USD,Business Development,Bank Transfer,Failed,
TXN-000196,2024-09-06,CUST-0008,Refund,$583.47,USD,Customer Success,Crypto,Completed,APR-97697
TXN-000197,2023-12-10,CUST-0168,Operating Expense,"$9,596.04",GBP,Finance,Bank Transfer,Completed,APR-70587
TXN-000198,2023-10-25,CUST-0006,Operating Expense,"$6,244.21",USD,Finance,Direct Debit,Completed,APR-43468
TXN-000199,2023-04-30,CUST-0003,Capital Expenditure,"$12,645.01",USD,Real Estate,Internal Transfer,Completed,APR-17481
TXN-000200,2023-07-16,CUST-0080,Operating Expense,"$6,016.74",JPY,IT,Bank Transfer,Completed,APR-33129
TXN-000201,2023-06-08,CUST-0059,Tax Payment,"$11,470.10",GBP,Finance,Direct Debit,Completed,APR-37049
TXN-000202,2024-02-02,CUST-0097,Loan Repayment,"$12,890.06",GBP,Finance,Direct Debit,Pending,
TXN-000203,2024-07-27,CUST-0189,Revenue,"$45,337.91",USD,Business Development,Bank Transfer,Completed,APR-20957
TXN-000204,2024-06-10,CUST-0170,Investment,"$21,802.37",GBP,Treasury,Direct Debit,Completed,APR-60010
TXN-000205,2024-05-06,CUST-0089,Refund,"$1,486.11",USD,Sales,Crypto,Completed,APR-34135
TXN-000206,2024-11-12,CUST-0008,Operating Expense,"$2,595.49",GBP,IT,Internal Transfer,Completed,APR-79843
TXN-000207,2024-09-28,CUST-0009,Revenue,"$98,768.85",USD,Business Development,Bank Transfer,Completed,APR-67272
TXN-000208,2024-11-09,CUST-0019,Tax Payment,"$29,255.23",EUR,Legal,Bank Transfer,Completed,APR-91729
TXN-000209,2022-04-12,CUST-0069,Operating Expense,"$12,897.99",GBP,HR,Bank Transfer,Completed,APR-29209
TXN-000210,2023-08-18,CUST-0064,Operating Expense,"$5,151.42",GBP,HR,Credit Card,Completed,APR-37432
TXN-000211,2024-02-15,CUST-0008,Operating Expense,"$9,017.83",USD,Marketing,Credit Card,Completed,APR-84586
TXN-000212,2023-10-26,CUST-0159,Loan Repayment,"$19,294.00",GBP,Treasury,Direct Debit,Completed,APR-66027
TXN-000213,2024-05-06,CUST-0246,Revenue,"$101,167.54",EUR,Business Development,Credit Card,Completed,APR-49094
TXN-000214,2024-12-23,CUST-0060,Operating Expense,"$4,287.39",USD,Finance,Direct Debit,Completed,APR-23938
TXN-000215,2022-10-26,CUST-0093,Operating Expense,"$1,048.20",JPY,HR,Credit Card,Completed,APR-20932
TXN-000216,2023-06-14,CUST-0178,Operating Expense,"$4,526.26",USD,IT,Bank Transfer,Completed,APR-18978
TXN-000217,2024-11-29,CUST-0203,Revenue,"$45,204.97",CAD,Business Development,Bank Transfer,Completed,APR-53445
TXN-000218,2023-09-21,CUST-0014,Refund,"$3,985.53",USD,Sales,Internal Transfer,Completed,APR-73990
TXN-000219,2023-09-11,CUST-0018,Tax Payment,"$6,670.85",CAD,Legal,Internal Transfer,Completed,APR-28906
TXN-000220,2024-10-01,CUST-0023,Investment,"$5,864.84",GBP,Treasury,Bank Transfer,Completed,APR-40414
TXN-000221,2022-04-11,CUST-0039,Capital Expenditure,"$14,354.58",USD,Real Estate,Credit Card,Completed,APR-76142
TXN-000222,2022-09-03,CUST-0122,Revenue,"$150,521.95",EUR,Partnerships,Credit Card,Completed,APR-20239
TXN-000223,2022-09-14,CUST-0120,Capital Expenditure,"$51,088.70",USD,Operations,Bank Transfer,Completed,APR-19049
TXN-000224,2024-12-24,CUST-0072,Tax Payment,"$24,528.33",GBP,Finance,Credit Card,Completed,APR-62350
TXN-000225,2022-07-13,CUST-0030,Capital Expenditure,"$24,890.11",GBP,Operations,Credit Card,Completed,APR-42372
TXN-000226,2023-08-27,CUST-0089,Tax Payment,"$20,165.78",USD,Legal,Bank Transfer,Completed,APR-77185
TXN-000227,2024-10-16,CUST-0017,Revenue,"$131,988.83",JPY,Partnerships,Bank Transfer,Completed,APR-48319
TXN-000228,2023-08-08,CUST-0127,Investment,"$36,944.07",GBP,Finance,Bank Transfer,Completed,APR-72023
TXN-000229,2022-03-02,CUST-0165,Revenue,"$58,214.44",JPY,Sales,Cheque,Completed,APR-36110
TXN-000230,2023-09-14,CUST-0021,Revenue,"$22,920.93",USD,Partnerships,Internal Transfer,Completed,APR-83412
TXN-000231,2022-07-03,CUST-0238,Revenue,"$34,617.46",USD,Sales,Credit Card,Completed,APR-53283
TXN-000232,2024-02-22,CUST-0257,Tax Payment,"$31,469.97",GBP,Legal,Bank Transfer,Completed,APR-86895
TXN-000233,2023-10-31,CUST-0267,Operating Expense,"$6,141.61",JPY,Finance,Bank Transfer,Completed,APR-66589
TXN-000234,2023-07-09,CUST-0163,Operating Expense,"$3,916.89",USD,Operations,Internal Transfer,Completed,APR-87206
